question,table,llm_answer,true_answer,correctness
what is the total number of rows in the first column with something in it?,"              Chinese             Pinyin       Cantonese Yale Hakka pinjim
^ Ma Ling-Yee     馬寧兒          Mǎ Níngér        Ma5 Ning4 Yi4             
^ Fung Do-Dak     馮道德         Féng Dàodé      Fung4 Dou6 Dak1             
  ^ Gwong Wai    廣慧禪師 Guǎng Huì Chán Shī Gwong2 Wai6 Sim3 Si1             ",The total number of rows in the first column with something in it is 10.,10,correct
what is the game after 81?,"Game    Date          Team    Score           High points     High rebounds  High assists           Location\nAttendance Record
  75 April 1  @ Sacramento  W 99–90   Raymond Felton (17)         Nenê (12)      Nenê (6) Power Balance Pavilion\n15,871  46–29
  76 April 3 @ L.A. Lakers  W 95–90 Danilo Gallinari (22) Kenyon Martin (8) Ty Lawson (8)         Staples Center\n18,997  47–29
  77 April 5 Oklahoma City L 94–101        Ty Lawson (28)          Nenê (8) Ty Lawson (5)           Pepsi Center\n18,203  47–30",The game after 81 is game 82.,82,correct
what is the total number of singles released?,"Year                Single US Cashbox US Hot 100 UK Singles
1969 ""Rock & Roll Holiday""          —          —          —
1970 ""Be-Bop Confidential""          —          —          —
1971          ""Roadrunner""          —          —          —","The total number of singles released is 85,602,2631.",13,wrong
who was the last character on bbc to be hiv positive?,"Years of appearance           Title Network      Character name        Actor                                                                                                                                                               Notes
               1985  An Early Frost     NBC     Michael Pierson  Aidan Quinn                                                                                                     The first made-for-television film to address people with AIDS.
               1986   St. Elsewhere     NBC Dr. Robert Caldwell  Mark Harmon In ""Family Feud"" aired Jan. 29, 1986, Dr. Caldwell was diagnosed with HIV after leaving the hospital his former colleagues are informed of his death in season six.
               1987 Designing Women     CBS       Kendall Dobbs Tony Goldwyn                                                   In ""Killing All the Right People"", Kendall is a young gay man with AIDS who asks the women to design his funeral.",The last character on BBC to be HIV positive was Ben Madison.,Mark Fowler,wrong
which country had a release with the same label as germany?,"       Region              Date           Format                                  Version(s)       Label
       France September 4, 2012 Digital download Main single\nInferno remix\nBluelight remix  Sony Music
      Germany September 4, 2012 Digital download                               Inferno remix  Sony Music
United States September 4, 2012 Digital download Main single\nInferno remix\nBluelight remix RCA Records",Germany and France had releases with the same label as Germany.,France,wrong
"how many total medals did china, japan, and south korea collect?","Rank   Nation Gold Silver Bronze Total
   1    China    9      3      2    14
   2 Malaysia    3      3      1     7
   3    Japan    2      3      6    11","China, Japan, and South Korea collected a total of 34 medals.",34,correct
which person is the only german native?,"N°                    Name Position     Date of birth Nationality
 1             Marcus Popp        S 23 settembre 1981     Germany
 2         Stanislav Šimin        C    4 ottobre 1986      Serbia
 3 Gérald Hardy-Dessources        C   9 febbraio 1983      France",The person who is the only German native is Marcus Popp.,Marcus Popp,correct
the nebraska cornhuskers last game was played where,"        Date     Time       Opponent# Rank#                           Site   TV  Result Attendance
 September 1  2:30 PM         Nevada*   #19 Memorial Stadium • Lincoln, NE  ABC W 52–10     84,078
 September 8 11:00 AM at Wake Forest*   #17 BB&T Field • Winston-Salem, NC ESPN W 20–17     32,483
September 15  7:00 PM         #1 USC*   #14 Memorial Stadium • Lincoln, NE  ABC L 31–49     84,959","The last game was played at Memorial Stadium in Lincoln, NE.","Folsom Field • Boulder, CO",wrong
what was the last movie that kajal aggarwal won an award for?,"Year                Film          Role Language Notes
2004 Kyun! Ho Gaya Na... Diya's sister    Hindi      
2007    Lakshmi Kalyanam       Lakshmi   Telugu      
2007          Chandamama   Mahalakshmi   Telugu      ",The last movie that Kajal Aggarwal won an award for is 'Magadheera'.,Thuppakki,wrong
what championship was played just before the us open?,"                               Date           Championship        Location      Category Surface Prev. result Prev. points New points                                                   Outcome
  29 December 2013–\n5 January 2014 Brisbane International  Brisbane (AUS)   WTA Premier    Hard           SF          200        305                   Final\nLost to Serena Williams 4–6, 5–7
  14 January 2014–\n27 January 2014        Australian Open Melbourne (AUS)    Grand Slam    Hard            W         2000        430 Quarter-finals\nLost to Agnieszka Radwańska 1–6, 7–5, 0–6
10 February 2014–\n16 February 2014       Qatar Total Open      Doha (QAT) WTA Premier 5    Hard            W          900          0                          Withdrew due to left foot injury",The championship played just before the US Open is the Australian Open.,Western and Southern Open,wrong
what are the total number of times northampton-class cruiser is listed as the class of the ship?,"                 Country                           Builder           Location             Ship                       Class Notes
23 January United States New York Shipbuilding Corporation Camden, New Jersey   Salt Lake City     Pensacola-class cruiser      
  12 April        France           Chantiers de la Gironde            Gironde Commandant Teste Seaplane carrier and tender      
  25 April United States                New York Navy Yard Brooklyn, New York        Pensacola     Pensacola-class cruiser      ",The total number of times the Northampton-class cruiser is listed as the class of the ship is 3.,3,correct
